NOC,Year,Sport,sport_num_athletes,sport_medal_gold,sport_medal_silver,sport_medal_bronze,sport_num_female_athletes,sport_num_male_athletes,num_games_sports_each_year,rank_country_year,total_gold_country_year,total_silver_country_year,total_bronze_country_year,total_medal_country_year,total_athelete_country_year,host_status,future_host_status
Denmark,1896,Fencing,1,0,0,1,0,1,3,9,1,2,3,6,3,0,0
Greece,1896,Weightlifting,3,0,0,2,0,3,2,2,10,18,19,47,102,1,0
Greece,1896,Tennis,7,0,3,1,0,7,2,2,10,18,19,47,102,1,0
Greece,1896,Swimming,9,1,3,2,0,9,0,2,10,18,19,47,102,1,0
Greece,1896,Shooting,27,3,3,3,0,27,5,2,10,18,19,47,102,1,0
Greece,1896,Gymnastics,9,2,1,3,0,9,8,2,10,18,19,47,102,1,0
Greece,1896,Fencing,9,2,1,2,0,9,3,2,10,18,19,47,102,1,0
Greece,1896,Wrestling,2,0,1,1,0,2,1,2,10,18,19,47,102,1,0
Hungary,1896,Swimming,1,2,0,0,0,1,0,6,2,1,3,6,7,0,0
Hungary,1896,Weightlifting,1,0,0,0,0,1,2,6,2,1,3,6,7,0,0
Hungary,1896,Wrestling,1,0,0,0,0,1,1,6,2,1,3,6,7,0,0
United Kingdom,1896,Athletics,5,0,1,1,0,5,12,5,2,3,2,7,0,0,0
United Kingdom,1896,Cycling,2,0,1,1,0,2,6,5,2,3,2,7,0,0,0
United Kingdom,1896,Shooting,2,0,0,0,0,2,5,5,2,3,2,7,0,0,0
United Kingdom,1896,Tennis,2,2,0,1,0,2,2,5,2,3,2,7,0,0,0
Hungary,1896,Tennis,1,0,0,1,0,1,2,6,2,1,3,6,7,0,0
United Kingdom,1896,Weightlifting,1,1,1,0,0,1,2,5,2,3,2,7,0,0,0
Hungary,1896,Gymnastics,2,0,0,0,0,2,8,6,2,1,3,6,7,0,0
United States,1896,Shooting,3,2,1,0,0,3,5,1,11,7,2,20,14,0,0
Austria,1896,Cycling,1,1,0,2,0,1,6,7,2,1,2,5,3,0,0
Austria,1896,Fencing,1,0,0,0,0,1,3,7,2,1,2,5,3,0,0
Austria,1896,Swimming,2,1,1,0,0,2,0,7,2,1,2,5,3,0,0
Denmark,1896,Weightlifting,1,1,1,0,0,1,2,9,1,2,3,6,3,0,0
Denmark,1896,Shooting,3,0,1,2,0,3,5,9,1,2,3,6,3,0,0
